0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1920	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.0	181.1	NaN	NaN	NaN	80.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1924	NaN	NaN	NaN	NaN	NaN	80.3	NaN	NaN	35.3	212.9	43.6	NaN	NaN	89.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.1	55.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1925	NaN	NaN	41.9	NaN	NaN	60.6	NaN	NaN	24.7	68.2	29.1	NaN	NaN	32.0	NaN	NaN	NaN	NaN	NaN	26.3	NaN	NaN	NaN	NaN	56.5	NaN	NaN	NaN	NaN	NaN	NaN	42.8	NaN	NaN	NaN	NaN
1926	NaN	NaN	45.8	NaN	NaN	82.9	NaN	NaN	31.5	116.0	84.4	NaN	NaN	67.5	NaN	NaN	37.2	NaN	NaN	47.7	NaN	57.8	NaN	NaN	65.7	44.5	NaN	NaN	NaN	NaN	NaN	133.8	28.3	NaN	NaN	NaN
1927	NaN	NaN	44.8	NaN	NaN	66.3	NaN	NaN	29.8	99.2	23.8	NaN	NaN	55.0	NaN	NaN	27.5	NaN	NaN	31.7	NaN	56.5	NaN	NaN	50.2	66.5	NaN	NaN	NaN	31.1	52.3	49.2	24.1	NaN	NaN	NaN
1928	NaN	NaN	53.1	NaN	NaN	77.9	NaN	NaN	43.3	163.6	70.6	NaN	NaN	81.1	NaN	NaN	47.0	NaN	NaN	55.5	NaN	111.9	NaN	NaN	55.3	56.6	NaN	NaN	NaN	39.8	54.8	117.6	37.0	NaN	NaN	NaN
1929	NaN	NaN	NaN	NaN	NaN	131.0	NaN	NaN	50.6	63.2	39.7	NaN	NaN	44.0	NaN	NaN	48.5	NaN	NaN	35.7	NaN	51.4	NaN	NaN	63.3	85.6	NaN	NaN	NaN	44.1	NaN	NaN	34.1	NaN	NaN	NaN
