SITE	REGION	AREA	X	Y
1	1	4350.9	5208.8	22286.9
2	1	2074.5	245817.9	57970.9
3	1	2496.6	186341.6	113881.2
4	1	1704.1	168066.6	82930.4
5	1	2615.7	73209.5	231264.6
6	1	8158.0	246602.3	94179.0
7	1	4454.5	78963.6	191458.0
8	1	5102.0	226090.4	295970.1
9	1	1440.0	197893.4	150862.7
10	1	16082.9	64218.9	284311.0
11	1	1755.9	180635.1	248407.8
12	1	1124.0	181481.1	275267.2
13	1	2266.1	197850.5	33923.9
14	1	4506.3	55009.1	243637.8
15	1	2797.0	190964.1	272478.8
16	1	5231.5	51092.7	46912.8
17	1	1945.0	161880.3	36635.6
18	1	3444.5	187018.3	228799.9
19	1	4817.1	205767.0	216540.1
20	1	1807.7	203203.8	195491.9
21	1	3910.7	263049.0	226206.8
22	1	4609.9	3867.2	198948.6
23	1	18983.6	93120.7	265048.1
24	1	5594.1	233723.8	81647.2
25	1	4868.9	92188.8	125829.8
26	1	5257.4	278003.5	63898.1
27	1	3936.6	203616.0	10680.0
28	1	9142.2	22296.4	24349.1
29	1	2504.4	21200.8	255170.0
30	1	2040.8	3579.1	102061.0
31	1	6060.2	68146.1	139846.5
32	1	5412.8	154875.6	274129.0
33	1	1129.2	137461.3	68573.0
34	1	18931.8	210961.0	258613.5
35	1	5179.7	174745.2	196985.6
36	1	2514.7	152761.8	267354.8
